"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,5.9286578588151695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454209386505011,0,6.772679837785048,0,0,0,0,4.062509838702082,0,0,0,0,0,0,0,9.211077100525047,0,0,0,6.70808408385307,6.906954958811368,0,0,0,7.244941546337007,0,5.643253681581379,0,0,0,0,0,6.285029282717918,0,0,0,0,0,0,6.8680784618292385,0,,"2005","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2005Cayo CoralASEC Survey","2005_Cayo Coral","2005_Guanica","2005_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,5.971822906852693,0,0,0,0,0,0,0,0,0,0,6.8088406108076995,10.370392636243981,6.772679837785048,0,0,0,0,6.272046473069456,0,0,0,5.5177339814546125,0,0,0,9.171151418318564,0,0,0,6.70808408385307,4.2708157053378795,0,0,0,0,0,5.643253681581379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2006","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2006Cayo CoralASEC Survey","2006_Cayo Coral","2006_Guanica","2006_Southwest"
0,0,0,0,0,0,0,0,7.511486375378529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8088406108076995,0,6.772679837785048,0,0,0,0,6.272046473069456,0,0,0,6.5873158276255,0,0,0,7.580587501026674,0,0,0,6.70808408385307,6.540755791324192,0,0,0,5.940039665115794,8.909370405197466,8.093324776506142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2007","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2007Cayo CoralASEC Survey","2007_Cayo Coral","2007_Guanica","2007_Southwest"
0,0,0,0,0,0,0,0,6.8309930180879075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.145215146913901,0,0,0,0,0,0,0,0,0,0,4.794053500617187,0,0,0,8.05781135071381,0,0,0,6.9988840013932165,6.540755791324192,0,0,0,0,0,7.280283886844036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2008","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2008Cayo CoralASEC Survey","2008_Cayo Coral","2008_Guanica","2008_Southwest"
0,0,0,0,0,0,0,0,6.8309930180879075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.511864193308246,0,0,0,0,0,0,0,0,0,0,6.5301922617209165,0,0,0,7.868571857639345,0,0,0,0,7.039099281011224,0,0,0,0,0,6.95592620384343,0,0,0,0,0,6.285029282717918,0,0,0,0,0,0,6.8680784618292385,0,,"2009","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2009Cayo CoralASEC Survey","2009_Cayo Coral","2009_Guanica","2009_Southwest"
0,0,0,0,0,0,0,0,7.025493869206392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.478847526747423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.715492471293791,0,0,0,6.4678229419917255,7.060819654708974,0,0,0,0,0,6.733104228492402,0,0,0,0,0,7.636250298173724,0,0,0,0,0,0,6.8680784618292385,0,,"2010","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2010Cayo CoralASEC Survey","2010_Cayo Coral","2010_Guanica","2010_Southwest"
0,0,0,0,0,0,0,0,6.620473126551683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.598439428770597,0,5.3473932041946295,0,0,0,0,0,0,0,0,5.7145575478241595,0,0,0,0,0,0,0,0,0,0,0,0,6.8680784618292385,0,,"2011","Southwest","Guanica","Cayo Aurora","Very Shallow","ASEC Survey","2011Cayo AuroraASEC Survey","2011_Cayo Aurora","2011_Guanica","2011_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.478847526747423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.293160465320182,0,0,0,6.4678229419917255,6.189454379538652,0,0,0,0,0,6.444687540737514,0,5.7618626857327255,0,0,0,7.601402334583733,0,0,0,0,0,0,6.8680784618292385,0,,"2011","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2011Cayo CoralASEC Survey","2011_Cayo Coral","2011_Guanica","2011_Southwest"
0,0,0,0,0,0,0,0,7.1006952602367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.085387401384754,0,6.038157275099964,0,0,0,0,0,0,0,0,6.6555819104891105,0,0,0,0,0,0,0,0,0,0,0,0,6.189269777406999,0,,"2013","Southwest","Guanica","Cayo Aurora","Very Shallow","ASEC Survey","2013Cayo AuroraASEC Survey","2013_Cayo Aurora","2013_Guanica","2013_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57779181427375,0,0,0,0,6.874870451646361,0,0,0,0,0,0,0,0,0,0,0,7.636250298173724,0,0,0,0,0,0,6.8680784618292385,0,,"2013","Southwest","Guanica","Cayo Coral","Very Shallow","ASEC Survey","2013Cayo CoralASEC Survey","2013_Cayo Coral","2013_Guanica","2013_Southwest"
